Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
104974-001-001_S1_L001_1	3.4	62706972	44963180	62706972	9468752772	54301500	4433093777	53.181861605795866
104974-001-001_S1_L001_2	3.4	62706972	12221579	62706972	9468752772	71996280	9251985615	2.289289436735544
104974-001-002_S1_L001_1	3.4	64669874	39011760	64669874	9765150974	73677421	6499822751	33.43858412116752
104974-001-002_S1_L001_2	3.4	64669874	18101661	64669874	9765150974	86878676	9457395273	3.151571356340609
104974-001-003_S1_L001_1	3.4	62898963	50801699	62898963	9497743413	40465737	3140951017	66.9295022994532
104974-001-003_S1_L001_2	3.4	62898963	8725070	62898963	9497743413	58395606	9308525854	1.9922370059082581
104974-001-004_S1_L001_1	3.4	69625454	61878531	69625454	10513443554	26910102	1989843247	81.07334445864853
104974-001-004_S1_L001_2	3.4	69625454	5421656	69625454	10513443554	42293329	10391796953	1.1570576317377734
104974-001-005_S1_L001_1	3.4	62977557	51870459	62977557	9509611107	37831855	2949991119	68.9788458664885
104974-001-005_S1_L001_2	3.4	62977557	8451383	62977557	9509611107	56951761	9316811764	2.0274156411935804
104974-001-006_S1_L001_1	3.4	63367108	55616176	63367108	9568433308	20132013	2026046494	78.82572382768183
104974-001-006_S1_L001_2	3.4	63367108	6237829	63367108	9568433308	35953553	9427756617	1.470216559720207
104974-001-007_S1_L001_1	3.4	78579762	43051869	78579762	11865544062	120175079	9052428431	23.70827343694373
104974-001-007_S1_L001_2	3.4	78579762	29781060	78579762	11865544062	105645276	11323727409	4.566302650505467
104974-001-008_S1_L001_1	3.4	54697456	32546767	54697456	8259315856	82262833	5829264414	29.42194588955795
104974-001-008_S1_L001_2	3.4	54697456	20358682	54697456	8259315856	55665397	7862045808	4.809963136491532
104974-001-009_S1_L001_1	3.4	71054075	44678863	71054075	10729165325	93619047	7449776752	30.565178871451494
104974-001-009_S1_L001_2	3.4	71054075	29507792	71054075	10729165325	89235740	10067291867	6.168918438210383
104974-001-010_S1_L001_1	3.4	67630514	39493534	67630514	10212207614	73828005	7734552171	24.261702627386477
104974-001-010_S1_L001_2	3.4	67630514	29298236	67630514	10212207614	80873934	9624289565	5.7570123054883675
104974-001-011_S1_L001_1	3.4	70867997	47242154	70867997	10701067547	74582932	6445304581	39.769517829023386
104974-001-011_S1_L001_2	3.4	70867997	24380432	70867997	10701067547	72454217	10191781480	4.759208039414499
104974-001-012_S1_L001_1	3.4	45745017	32187145	45745017	6907497567	12646102	6013727766	12.939125816995023
104974-001-012_S1_L001_2	3.4	45745017	33502320	45745017	6907497567	12044645	6013476895	12.942757682190292
104974-001-013_S1_L001_1	3.4	71652675	52755286	71652675	10819553925	21852503	8811071572	18.56344879763608
104974-001-013_S1_L001_2	3.4	71652675	55022457	71652675	10819553925	20697979	8815888904	18.518924485142303
104974-001-014_S1_L001_1	3.4	55558984	41648776	55558984	8389406584	7918390	6773376502	19.26274600973613
104974-001-014_S1_L001_2	3.4	55558984	43863631	55558984	8389406584	12726551	6774857248	19.245095822143313
104974-001-015_S1_L001_1	3.4	87296352	63881628	87296352	13181749152	16817425	10806059412	18.022568269246335
104974-001-015_S1_L001_2	3.4	87296352	67593654	87296352	13181749152	24860481	10814459226	17.958845208648377
104974-001-016_S1_L001_1	3.4	104935676	78800861	104935676	15845287076	23077638	13091520323	17.37909032377824
104974-001-016_S1_L001_2	3.4	104935676	83054559	104935676	15845287076	24639555	13096965161	17.344727816025085
